ID,količina,merska enota,sestavina
21348,100,g,kokosova moka 
21348,6,žlica,moka 
21348,2,,pecilni prašek 
21348,1,skodelica,mleko 
21348,2,skodelica,olje 
21348,1,l,mleko 
21348,1,,vanilijev puding 
21348,1,,čokoladni puding 
21348,8,žlica,sladkor 
21348,2,,vanilijev sladkor 
21348,2,vrečka,želatina
21348,100,g,kokosova moka
21349,4,,jajce 
21349,100,g,sladkor 
21349,70,g,pšenična moka 
21349,30,g,kakav 
21349,6,dl,smetana
21349,500,g,nepasirana skuta 
21349,250,g,mileram
21349,120,g,sladkor 
21349,15,g,želatina 
21349,40,g,mangov žele 
21349,25,g,mangov pire
21349,1,dl,voda 
21349,2,žlica,sladkor 
21349,4,list,meta 
21349,300,g,malinov pire 
21349,250,g,jagodičevje 
21349,100,g,sladkor 
21349,1,žlica,škrob
21349,6,dl,smetana
21349,13,g,želatina
21350,75,g,ostra moka
21350,25,g,ajdova moka 
21350,1,,jajce 
21350,1,,rumenjak
21350,30,g,gomolj zelene 
21350,30,g,jabolko 
21350,100,g,mlečni namaz
21351,800,g,moka 
21351,20,g,maslo
21351,1,žlička,sol 
21351,5,g,kvas 
21351,2,dl,mlačna voda 
21351,2,žlica,balzamični kis 
21351,40,g,milerama  
21351,80,g,sir
21351,40,g,parmezan
21351,60,g,radič 
21351,80,g,pršut 
21351,40,g,fige 
21352,1,,raca
21352,2,,čebula
21352,1,,pomaranča 
21352,1,,korenček 
21352,1,,peteršilj
21352,400,ml,jušna osnova
21352,3,,pomaranča
21352,2,žlica,sladkor
21352,4,žlica,vinski kis
21352,1,žlička,maslo 
21352,1,žlička,gladka moka
21352,2,žlica,brusnični džem
21353,1,kg,telečja rulada
21353,2,žlica,oljčno olje 
21353,1,,čebula 
21353,1,,korenček 
21353,100,g,gomolj zelene 
21353,1,žlica,paradižnikova mezga  
21353,2,l,rdeče vino 
21353,5,l,jušna osnova
21353,1,žlička,brinove jagode 
21353,1,strok,česn
21353,1,vejica,rožmarin
21353,400,g,krompir
21353,500,g,ostra moka 
21353,3,žlica,maslo
21353,4,žlica,drobtine
21353,1,žlica,drobnjak
21354,200,g,krompir
21354,1,,repično olje
21354,1,,avokado 
21354,1,,limeta 
21354,2,žlica,jogurt
21354,300,g,tatarski biftek
21354,1,,čebula
21354,12,,kaper
21355,4,,paradižnik
21355,4,list,solata 
21355,1,,avokado 
21355,2,žlica,grški jogurt
21355,500,g,goveje mleto meso
21356,400,g,fužev 
21356,4,,goveji steak 
21356,200,g,šampinjoni 
21356,125,ml,belo vino 
21356,125,ml,jušna osnova
21356,125,ml,smetana za kuhanje 
21356,2,žlička,pasta iz tartufov in šampinjonov 
21357,2,,čebula
21357,200,g,korenje 
21357,2,žlica,čajno maslo
21357,500,g,kislo zelje 
21357,1,l,jušna osnova 
21357,100,g,pečena slanina
21357,250,ml,sladka smetana
21357,12,,pečenica
21357,1,,rdeča paprika 
21357,1,žlica,sončnično olje
21358,1,kg,krače divjega prašiča
21358,100,g,korenje 
21358,100,g,gomolj zelene 
21358,50,g,por 
21358,2,,čebula 
21358,2,žlica,paradižnikova mezga
21358,125,ml,rdeče vino 
21358,250,ml,goveja jušna osnova
21358,7,,brinove jagode
21358,2,,lovorjev list
21358,3,žlica,brusnični džem
21358,125,ml,sladka smetana
21358,400,g,njoki
21358,20,g,čajno maslo
21358,1,žlica,peteršilj
21359,2,,pomaranča 
21359,100,g,kivi
21360,2,kepica,vanilijin sladoled 
21360,2,skodelica,kava
21360,100,ml,sladka smetana 
21361,20,,jagode 
21361,8,cl,limonin sok
21361,8,žlička,sladkor v prahu 
21362,250,g,moka
21362,150,g,maslo 
21362,70,g,sladkor 
21362,1,zavitek,vanilin sladkor 
21362,1,,jajce
21362,500,g,rabarbara 
21362,250,g,jagode 
21362,1,zavitek,vanilin sladkor 
21362,1,žlica,sladkor
21362,5,dl,cedevita 
21362,75,g,moke 
21362,75,g,sladkor 
21362,75,g,maslo 
21363,1,,lubenica 
21363,5,kg,solata
21363,200,g,sir
21363,1,šopek,meta
21363,100,g,olive
21363,5,žlica,oljčno olje
21363,50,g,orehi 
21364,100,g,por
21364,1,,rdeča paprika 
21364,1,,banana 
21364,1,žlica,karij 
21364,5,žlica,oljčno olje
21364,150,ml,jabolčni sok
21364,4,žlica,sladkor
21364,4,žlica,kis
21364,500,g,file losos
21365,2,,melona
21365,4,listič,želatina 
21365,100,g,sladkor
21365,1,zavoj,vaniljev sladkor
21365,1,žlička,jedilni škrob 
21365,150,g,jogurt
21365,1,lonček,sladka smetana
21366,500,g,muškatna buča 
21366,500,g,korenje 
21366,50,,g,ingver
21366,2,,limona 
21366,1,,pomaranča 
21366,500,g,želirni sladkor
21366,1,,vanilijev strok 
21367,4,,hruška
21367,2,žlica,sladkor
21367,20,ml,jabolčni kis
21367,500,ml,voda
21368,100,g,morska sol
21369,500,g,paradižnik
21369,70,ml,jabolčni kis
21369,2,žlica,rjavi sladkor 
21369,2,,lovorjev list
21369,1,,nageljnova žbica 
21369,1,žlica,paradižnikova mezga
21369,1,žlica,jedilni škrob 
21370,1,kg,jagode 
21370,350,g,sladkor
21370,1,vrečka,vanilin sladkor 
21370,1,žlička,citronka 
21370,2,žlica,osmukana sivka 
21370,2,listič,želatina 
21371,200,g,testenine 
21371,50,g,maslo 
21372,50,dag,moka 
21372,1,,kvas 
21372,3,dl,mleko 
21372,2,,rumenjak 
21372,1,žlica,sladkor 
21372,1,,limona
21373,6,,jajce 
21373,140,g,sladkor 
21373,110,g,ostra moka 
21373,30,g,kakav
21373,250,g,mascarpone 
21373,5,l,smetana za stepanje 
21373,2,,limona 
21373,4,žlica,sladkor 
21374,200,g,jedilna čokolada 
